maamar_id,date_occasion_parsha,title,continuation,hanacha_type,url,google_drive_count,google_drive_1,google_drive_2,google_drive_3,google_drive_4,google_drive_5,google_drive_6,google_drive_7,google_drive_8,google_drive_9,google_drive_10
318,,,,,https://www.mafteiach.app/maamorim/318,2,https://drive.google.com/open?id=1VRfG05uc_wt0b9i4vWjsZpU9maI1MqKK\,https://drive.google.com/file/d/1CRIDIqJKLAeuTipSK8zsIZPi5_tvAagd/view?usp=drivesdk\,,,,,,,,
319,,,,,https://www.mafteiach.app/maamorim/319,3,https://drive.google.com/open?id=1JAuFHN52EnjJmO6hThZcKIsqspWQEW63\,https://drive.google.com/open?id=10eGlxRxWRnaF_gwWlCmFwlr0qzAEZVqB\,https://drive.google.com/file/d/1inp1mwo5o4f93fTqY3Sj7vPN2PbCEzhJ/view?usp=drivesdk\,,,,,,,
320,,,,,https://www.mafteiach.app/maamorim/320,2,https://drive.google.com/open?id=1GPI2cQgsKjq92dZNPOIH_LZnqT9pZ2xd\,https://drive.google.com/file/d/1bO2tpv6ChfwAhAwJYEDaEbv9JBVU-loM/view?usp=drivesdk\,,,,,,,,
321,,,,,https://www.mafteiach.app/maamorim/321,2,https://drive.google.com/open?id=1u3gr2ycYA7uCJG0ee5FvfeRW7M9ogh65\,https://drive.google.com/file/d/1xSXX4zsrf9FjY8DxZr034qeSFH7GCayX/view?usp=drivesdk\,,,,,,,,
322,,,,,https://www.mafteiach.app/maamorim/322,3,https://drive.google.com/open?id=18ac2DNnBlhlg5hYcw_YfCsRdczyJ7fxZ\,https://drive.google.com/file/d/1ngcWz9At94r5NYmglSGMYmTvhshD8Qgt/view?usp=drivesdk\,https://drive.google.com/open?id=1X5xmCd4-GSanPtOd2BaS51rWGmayeQcv\,,,,,,,
323,,,,,https://www.mafteiach.app/maamorim/323,2,https://drive.google.com/open?id=1kiMHGZoiBzSIKdWVfEeoca7LwLTdmT_T\,https://drive.google.com/file/d/1dvrOupVEyne8bfGhQ3LuO5zlBrTI6b2u/view?usp=drivesdk\,,,,,,,,
324,,,,,https://www.mafteiach.app/maamorim/324,2,https://drive.google.com/open?id=1bwbWdmzhZ1KwWxWVIPiTo329siFcWEqu\,https://drive.google.com/file/d/18mBcZV0lttNqpp4F3m72RDlshZEmOdMB/view?usp=drivesdk\,,,,,,,,
325,,,,,https://www.mafteiach.app/maamorim/325,2,https://drive.google.com/open?id=1Z3qoI37N2roLNGOAF5wcX5gdW7hhucaL\,https://drive.google.com/file/d/1uU6vF8r_voVRR9lbKgFJs5y-s90VHZAN/view?usp=drivesdk\,,,,,,,,
326,,,,,https://www.mafteiach.app/maamorim/326,3,https://drive.google.com/open?id=1TIQ2v-XIw2vz2lToDnVb-WJEiHtPH7gJ\,https://drive.google.com/open?id=1wpv9ZEV84K5UFrIqAWjWOif3Mp_8b9Jo\,https://drive.google.com/file/d/18BAS4oK_ZOFYlWo0IufrWHhBrFGITVZ8/view?usp=drivesdk\,,,,,,,
327,,,,,https://www.mafteiach.app/maamorim/327,4,https://drive.google.com/open?id=19DpHXxLFCeCb6d3583qXZeVueyRZEwlL\,https://drive.google.com/open?id=1HY3IIzr1b306TC0XmkVocgLdqopxpO0S\,https://drive.google.com/file/d/0B_UwzYOTIwDTUXNvVDRMQUo2OVE/view?usp=sharing&amp;resourcekey=0-Eht91AOPRm3MoLcKbcdwqg\,https://drive.google.com/file/d/1Q7swj1qCrc66R63RezpG9jjWt0K7yrWV/view?usp=sharing\,,,,,,
328,,,,,https://www.mafteiach.app/maamorim/328,2,https://drive.google.com/open?id=1GOriKxNht5N7cGZsjZ4vj6JMawI8uT92\,https://drive.google.com/file/d/1vZ2IMjWKkUzwPtm_OJyrY1tXFK0oFx3W/view?usp=drivesdk\,,,,,,,,
329,,,,,https://www.mafteiach.app/maamorim/329,1,https://drive.google.com/file/d/1ce32UVMSIp67yptsyMG_4p_i1uOpneOU/view?usp=drivesdk\,,,,,,,,,
330,,,,,https://www.mafteiach.app/maamorim/330,2,https://drive.google.com/open?id=1fG0kt3UeifhGv5BIeXqTpv7UWKLziAiV\,https://drive.google.com/file/d/1jujbg7sGmmcR_5ENsE2q-_XXRkr9i0Ah/view?usp=drivesdk\,,,,,,,,
331,,,,,https://www.mafteiach.app/maamorim/331,2,https://drive.google.com/open?id=1A714rwZBWX1nmF8jI6KxaeHlTWP2_-7X\,https://drive.google.com/file/d/1c2G7wcxTYMUeVPtd-xf_LNH6E1h4wtYN/view?usp=drivesdk\,,,,,,,,
332,,,,,https://www.mafteiach.app/maamorim/332,2,https://drive.google.com/open?id=1AZSbSvOw2q4j0smAPMGIiBE6VwghQ5f8\,https://drive.google.com/file/d/1zSHUJp-F5UTbrtn7obOqZwit-xTx2CZC/view?usp=drivesdk\,,,,,,,,
333,,,,,https://www.mafteiach.app/maamorim/333,3,https://drive.google.com/open?id=1-hakwadq7d7dwobWrTg1Z1llEucOakPC\,https://drive.google.com/open?id=10oGRbaSP_D1k5YLSwZRXFKCABYukuupD\,https://drive.google.com/file/d/17BECn6Gg8XYAlE1RHCp55vn8UqpzPNIU/view?usp=drivesdk\,,,,,,,
334,,,,,https://www.mafteiach.app/maamorim/334,0,,,,,,,,,,
335,,,,,https://www.mafteiach.app/maamorim/335,4,https://drive.google.com/open?id=1naG7VE60vGuUQCgTF6XASmV-nDRJuObn\,https://drive.google.com/file/d/1o7CDq-TzN7nh34XxWp5kCvX16Yg5QYJL/view?usp=drivesdk\,https://drive.google.com/file/d/1LOp016NIP6IFTiNRcsc2nXMWaBA5GRL8/view?usp=drive_link\,https://drive.google.com/file/d/1OBmRksJXsSrpwiVE5i4kABv6_E8cwQ5u/view\,,,,,,
336,,,,,https://www.mafteiach.app/maamorim/336,4,https://drive.google.com/open?id=1iZ5ey6sDzl6xnIwIhS3V0RpwbO1sRFL2\,https://drive.google.com/open?id=1Qeem45YbckTXIo4N5GzmBmvu-WwK5ASE\,https://drive.google.com/open?id=1JrPKuBZX6jV7o5wSCvZH7XfiVShYd6r3\,https://drive.google.com/file/d/1IO3vSuLzOayG8lxxsEFPy-oUawcGBBZv/view?usp=share_link\,,,,,,
337,,,,,https://www.mafteiach.app/maamorim/337,1,https://drive.google.com/file/d/1lCHmQhDtzOYEqPD6guNoV3axhc3c8CqX/view?usp=drivesdk\,,,,,,,,,
338,,,,,https://www.mafteiach.app/maamorim/338,5,https://drive.google.com/file/d/1XvH-TtJl9aqGmYsDKavDUqrXamCfu1qr/view?usp=drivesdk\,https://drive.google.com/open?id=1vrZlxKs5Em7oNOXLNa2W40vjyf9UOv99\,https://drive.google.com/file/d/1kA-ujqRIKK0_-Ewi2zVRbadBiAllPYZP/view?usp=drivesdk\,https://drive.google.com/file/d/1Qm7MAKk_o1ML0lbVLB9qiX667lBTCq-R/view?usp=sharing\,https://drive.google.com/file/d/1Iayx3tFcwnhhPlBa6vN3ZyXbULFbf8g3/view?usp=sharing\,,,,,
339,,,,,https://www.mafteiach.app/maamorim/339,2,https://drive.google.com/open?id=1hnuzNwdaL6DxOJdgdCUKvdzxONOgwujh\,https://drive.google.com/file/d/1qcODjuSSDRKcJnRTDPNDLPFdDVrDVbNw/view?usp=drivesdk\,,,,,,,,
340,,,,,https://www.mafteiach.app/maamorim/340,1,https://drive.google.com/file/d/1hw9gQirrnfVAqofpoOFcJn-8GVMaFN9X/view?usp=drivesdk\,,,,,,,,,
341,,,,,https://www.mafteiach.app/maamorim/341,3,https://drive.google.com/open?id=1Fcm-jCx69HDVZbtsGBf3hkN03jHM5zay\,https://drive.google.com/file/d/1renSBt3bAq9qRQVhT8b48j58ouxVVbP1/view?usp=drivesdk\,https://drive.google.com/file/d/1E8KWmfAbnKtz8dyBhP7BzkVNHwbqYBjY/view?usp=drive_link\,,,,,,,
342,,,,,https://www.mafteiach.app/maamorim/342,5,https://drive.google.com/open?id=1ktw1CAYdh5mOqqQqjo69bXKXY9rUcaxd\,https://drive.google.com/file/d/1PfWgDLxhPOfClvHZx6ntzZsCO7PFpYu_/view?usp=drivesdk\,https://drive.google.com/file/d/1Eoq1NTiXj4EtM36S9b8gcmBpbgCxXeUE/view?usp=drive_link\,https://drive.google.com/file/d/1-JExPVrOKC57GA3EH6TBOv0CsovQFaOI/view\,https://drive.google.com/open?id=1LKLcLhFpDY6xSB9cdjCBHxjvpUvVQZHy\,,,,,
343,,,,,https://www.mafteiach.app/maamorim/343,3,https://drive.google.com/open?id=1syyj9-uNH_Taix-qmLJ68HU8N8MrGd4H\,https://drive.google.com/file/d/1RmkD1z3wboCFNA0Av3uJK_-K8Pbo1JdS/view?usp=drivesdk\,https://drive.google.com/file/d/1-JExPVrOKC57GA3EH6TBOv0CsovQFaOI/view\,,,,,,,
344,,,,,https://www.mafteiach.app/maamorim/344,2,https://drive.google.com/open?id=1r-fefzjpfHRzmlcBfEZLgSPxKkCagx08\,https://drive.google.com/open?id=1_JuLs_joqa0724jM6pCy2O-oIZNA4p0K\,,,,,,,,
345,,,,,https://www.mafteiach.app/maamorim/345,0,,,,,,,,,,
346,,,,,https://www.mafteiach.app/maamorim/346,1,https://drive.google.com/file/d/1zF2a-VzPOE5O4gqsf3aFzB0DBsin9xxa/view?usp=drivesdk\,,,,,,,,,
347,,,,,https://www.mafteiach.app/maamorim/347,3,https://drive.google.com/open?id=14AZ6PJhd4I3bxfC2AbqUedgmwCLzfUTB\,https://drive.google.com/file/d/1mPN-3oNZvzDHxDG5GHQYtyRPQXFXiI1F/view?usp=drivesdk\,https://drive.google.com/file/d/1gaiXO_lhF7KvQAb5jL0-P8DiknEawC9E/view?usp=sharing\,,,,,,,
348,,,,,https://www.mafteiach.app/maamorim/348,2,https://drive.google.com/open?id=19v5MgeCAl8Q-3PrSYRVFHgkZk263swpG\,https://drive.google.com/file/d/1Fcm6QDAWKues1CoFwpO80ti-EcshWkpS/view?usp=drivesdk\,,,,,,,,
349,,,,,https://www.mafteiach.app/maamorim/349,1,https://drive.google.com/file/d/1d1p0LuIJJlK-FGCsxnIfdUFkZAm5RXLR/view?usp=drivesdk\,,,,,,,,,
350,,,,,https://www.mafteiach.app/maamorim/350,1,https://drive.google.com/file/d/1nlDT7fFiTrpKNvBiKPzYu8vNhC9kxat6/view?usp=drivesdk\,,,,,,,,,
351,,,,,https://www.mafteiach.app/maamorim/351,0,,,,,,,,,,
352,,,,,https://www.mafteiach.app/maamorim/352,3,https://drive.google.com/open?id=1QAHm5o4rzndd-h9K_iVmztY46ODj2xli\,https://drive.google.com/open?id=1fXQYbdLKMjok5Uw3xFl54yGV-agZcAFw\,https://drive.google.com/file/d/1lQHsrAU3P204m-T2EVn9q4gWjKWC_CAe/view?usp=drivesdk\,,,,,,,
353,,,,,https://www.mafteiach.app/maamorim/353,3,https://drive.google.com/open?id=1wPwQWWeqwmDFZEuRiUEQHDxWxRushb59\,https://drive.google.com/open?id=1Vn4BhrJDkSx6g_NSIsm1p7PQHpbZ-671\,https://drive.google.com/file/d/148ws18yXAjacH8DW5uBQBgCF8zyTsqCR/view?usp=drivesdk\,,,,,,,
354,,,,,https://www.mafteiach.app/maamorim/354,1,https://drive.google.com/file/d/15McXZzN_G-CycE3Vg3nByFsr3mPxj5DR/view?usp=drivesdk\,,,,,,,,,
355,,,,,https://www.mafteiach.app/maamorim/355,4,https://drive.google.com/file/d/1iPv2SuEqOdUFhCUnBo2vOApzV3mlt4nO/view?usp=sharing\,https://drive.google.com/file/d/1vL-ZO4iNHhdHxd80h2KONJMPcezRLV3D/view?usp=drivesdk\,https://drive.google.com/file/d/0B_UwzYOTIwDTXy1XeW05SnFxb2c/view?usp=sharing&amp;resourcekey=0-fk1iX9z1js2Za_JL21OuZw\,https://drive.google.com/file/d/1g_5HuQySfZGM13pR-8H3PTfp_GBM3p18/view?usp=share_link\,,,,,,
356,,,,,https://www.mafteiach.app/maamorim/356,1,https://drive.google.com/file/d/1RzQNOp6hPie4Dl1dHbUFaHTtcC3HkUmb/view?usp=drivesdk\,,,,,,,,,
357,,,,,https://www.mafteiach.app/maamorim/357,2,https://drive.google.com/open?id=18-8CaweoX7dJZELJJFLT40zY5-mv89Ui\,https://drive.google.com/file/d/1df9tamRbPFbxDAGHvwju9dXYxgo-vGGf/view?usp=drivesdk\,,,,,,,,
358,,,,,https://www.mafteiach.app/maamorim/358,1,https://drive.google.com/file/d/1clj5tG_rkTtGI2-Ti1S0WqEYOVfHdS8J/view?usp=drivesdk\,,,,,,,,,
359,,,,,https://www.mafteiach.app/maamorim/359,3,https://drive.google.com/open?id=1Ob2yuTCiOmyirKy1ItC5-wPFTrr020H3\,https://drive.google.com/file/d/1eZltZqQqNiyhdf69027XkD-qdQqZ2jNV/view?usp=drivesdk\,https://drive.google.com/file/d/1__Q-bfIs1hGJ383xIve5t5WMt1-85cfq/view?usp=sharing\,,,,,,,
360,,,,,https://www.mafteiach.app/maamorim/360,0,,,,,,,,,,
361,,,,,https://www.mafteiach.app/maamorim/361,1,https://drive.google.com/file/d/1jOPp7tEaintoDroY9ndNQOn9dIG9kcpg/view?usp=drivesdk\,,,,,,,,,
362,,,,,https://www.mafteiach.app/maamorim/362,1,https://drive.google.com/file/d/1SR94un0ht6m-gP679105lpN1ggOUEvyP/view?usp=drivesdk\,,,,,,,,,
363,,,,,https://www.mafteiach.app/maamorim/363,0,,,,,,,,,,
364,,,,,https://www.mafteiach.app/maamorim/364,0,,,,,,,,,,
365,,,,,https://www.mafteiach.app/maamorim/365,2,https://drive.google.com/open?id=1tYjd3QZhWZ3oZZWYbA-Nfo281DvYoLLo\,https://drive.google.com/file/d/1UNkIh0_Uq4X0Fh8cspi9vaGDs7pCtzoc/view?usp=drivesdk\,,,,,,,,
366,,,,,https://www.mafteiach.app/maamorim/366,1,https://drive.google.com/file/d/1DwT52ZYGfZs98xFawMl1_UPViZ8ZK_z8/view?usp=drivesdk\,,,,,,,,,
367,,,,,https://www.mafteiach.app/maamorim/367,0,,,,,,,,,,
368,,,,,https://www.mafteiach.app/maamorim/368,1,https://drive.google.com/file/d/1BkAKBg3-zCCmJZdOvOYqroLlaZ-cWuxb/view?usp=drivesdk\,,,,,,,,,
369,,,,,https://www.mafteiach.app/maamorim/369,0,,,,,,,,,,
370,,,,,https://www.mafteiach.app/maamorim/370,2,https://drive.google.com/open?id=1rRU5BM9k-WObJaqJoaaqMM9udsy3p-ee\,https://drive.google.com/file/d/1k00nIytnYBObnLhVokoqPTkK2MI3ujTv/view?usp=drivesdk\,,,,,,,,
371,,,,,https://www.mafteiach.app/maamorim/371,0,,,,,,,,,,
372,,,,,https://www.mafteiach.app/maamorim/372,2,https://drive.google.com/file/d/1-h9W7YlnozQG49XKnnk8zEYeZZg7IkbQ/view?usp=drivesdk\,https://drive.google.com/open?id=1eLo99NvQbu_wW8uCHJTOqj6fs5sPtTBW\,,,,,,,,
373,,,,,https://www.mafteiach.app/maamorim/373,1,https://drive.google.com/file/d/1bspLgTLqpnY47x6A2399vos7cKUpV75G/view?usp=drivesdk\,,,,,,,,,
